   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved      Average_Intensity_M4    Average_Intensity_M1        
  =============      ==============     ============        ==========    ===========   ======================= ========================== 

      4001                 0             14186                 0             32986        0.004621825305        0.008334239782
      4002                 0             14186                 0             32986        0.00448895596        0.008111623709
      4003             -4786             -4786             -3192             -3192        -0.0007591004632        -1.8147152
      4004             -4786             -4786             -4767             -4767        -0.0007631190151        -1.812892192
      4005             -4786             -4786             -6342             -6342        -0.0007668762853        -1.819586639
      4006             -4786             -4786             -7917             -7917        -0.0007651354455        -1.816877636
      4007             -4786             -4786             -9492             -9492        -0.0007701540412        -1.808750812
      4008             -4786             -4786            -11067            -11067        -0.0007683552321        -1.821467686
      4009             -4786             -4786            -12642            -12642        -0.0007668054751        -1.816005489
      4010             -4786             -4786            -14217            -14217        -0.0007662236087        -1.814935769
      4011             -4786             -4786            -15792            -15792        -0.0007640820771        -1.814166942
      4012             -4786             -4786            -17367            -17367        -0.0007674632269        -1.813944242
      4013             -4786             -4786            -18942            -18942        -0.0007628935836        -1.813346043
      4014             -4786             -4786            -20517            -20517        -0.0007665557638        -1.805993313
      4015             -4786             -4786            -22092            -22092        -0.0007612501587        -1.818275337
      4016             -4786             -4786            -23667            -23667        -0.0007656367588        -1.814601959
      4017             -4786             -4786            -25242            -25242        -0.0007629126007        -1.809540624
      4018             -4786             -4786            -26817            -26817        -0.0007637382397        -1.81737822
      4019             -4786             -4786            -28392            -28392        -0.0007613401405        -0.457758988
      4020             -6361             -6361             -3192             -3192        -0.0007586401119        -1.78709774
      4021             -6361             -6361             -4767             -4767        -0.0007589442995        -1.815819569
      4022             -6361             -6361             -6342             -6342        -0.0007542532871        -1.820272159
      4023             -6361             -6361             -7917             -7917        -0.0007563005778        -1.82425433
      4024             -6361             -6361             -9492             -9492        -0.0007544519101        -1.824191867
      4025             -6361             -6361            -11067            -11067        -0.0007540787018        -1.820592399
      4026             -6361             -6361            -12642            -12642        -0.000754007843        -1.811052012
      4027             -6361             -6361            -14217            -14217        -0.0007535722761        -1.798963492
      4028             -6361             -6361            -15792            -15792        -0.0007548957049        -1.811870158
      4029             -6361             -6361            -17367            -17367        -0.0007524724927        -1.812300834
      4030             -6361             -6361            -18942            -18942        -0.0007535314557        -1.813558881
      4031             -6361             -6361            -20517            -20517        -0.000755413457        -1.803603128
      4032             -6361             -6361            -22092            -22092        -0.0007528111039        -1.795877079
      4033             -6361             -6361            -23667            -23667        -0.0007520895058        -1.817389622
      4034             -6361             -6361            -25242            -25242        -0.0007521675709        -1.802679472
      4035             -6361             -6361            -26817            -26817        -0.0007546492288        -1.804252134
      4036             -6361             -6361            -28392            -28392        -0.0007560115773        -1.812380547
      4037             -7936             -7936             -3192             -3192        -0.0007554267998        -1.812574207
      4038             -7936             -7936             -4767             -4767        -0.0007562774043        -1.806909689
      4039             -7936             -7936             -6342             -6342        -0.0007526720282        -1.808152198
      4040             -7936             -7936             -7917             -7917        -0.0007567108412        -1.806175377
      4041             -7936             -7936             -9492             -9492        -0.0007569899542        -1.808474769
      4042             -7936             -7936            -11067            -11067        -0.0007605854765        -1.80745094
